HKLM\Software\Classes\.bfc\ShellNew\command,
HKLM\Software\Classes\.lnk\ShellNew\command,
HKLM\Software\Classes\:::*:::\ShellEx\:::*:::\:::*:::\Default,Search for ContextMenuHandlers CopyHookHandlers DragDropHandlers PropertySheetHandlers
HKLM\Software\Classes\:::*file*:::\shell\:::*:::\command\Default,
HKLM\Software\Classes\Applications\iexplore.exe\shell\open\command\Default,
HKLM\Software\Classes\CLSID\{083863F1-70DE-11d0-BD40-00A0C911CE86}\Instance\:::*:::\Default&&FriendlyName&&CLSID,http://about-threats.trendmicro.com/Malware.aspx?language=au&name=TROJ_AGENT.MCS
HKLM\Software\Classes\CLSID\{7ED96837-96F0-4812-B211-F13C24117ED3}\Instance\:::vk:::,http://www.threatexpert.com/report.aspx?md5=d39ab2caf56c54006b1834916a0a3c45
HKLM\Software\Classes\CLSID\{871C5380-42A0-1069-A2EA-08002B30309D}\shell\OpenHomePage\Command\Default,http://www.threatexpert.com/report.aspx?md5=3276002e66849bc61bcba03a065a6aec
HKLM\Software\Classes\CLSID\{ABE3B9A4-257D-4B97-BD1A-294AF496222E}\Instance\:::vk:::,
HKLM\Software\Classes\CLSID\{AC757296-3522-4E11-9862-C17BE5A1767E}\Instance\:::vk:::,
HKLM\Software\Classes\Directory\Background\ShellEx\:::*:::\:::*:::\Default,Search for ContextMenuHandlers CopyHookHandlers DragDropHandlers PropertySheetHandlers
HKLM\Software\Classes\Directory\Background\ShellEx\ContextMenuHandlers\:::*:::\Default,
HKLM\Software\Classes\Directory\Background\Shell\:::*:::\Command\Default,
HKLM\Software\Classes\Directory\ShellEx\:::*:::\:::*:::\Default,Search for ContextMenuHandlers CopyHookHandlers DragDropHandlers PropertySheetHandlers
HKLM\Software\Classes\Directory\Shell\:::*:::\Command\Default,
HKLM\Software\Classes\Drive\shell\find\command\Default,
HKLM\Software\Classes\Filter\:::vk:::,
HKLM\Software\Classes\Folder\ShellEx\:::*:::\:::*:::\Default,Search for ContextMenuHandlers CopyHookHandlers DragDropHandlers PropertySheetHandlers
HKLM\Software\Classes\Folder\Shell\:::*:::\Command\Default,
HKLM\Software\Classes\Protocols\Filter\:::vk:::,
HKLM\Software\Classes\Protocols\Handler\:::vk:::,
HKLM\Software\Classes\Unknown\shell\openas\command\Default,
HKLM\Software\Clients\StartMenuInternet\FIREFOX.EXE\shell\open\command\Default,
HKLM\Software\Clients\StartMenuInternet\Google Chrome\shell\open\command\Default,
HKLM\Software\Clients\StartMenuInternet\IEXPLORE.EXE\shell\open\command\Default,
HKLM\Software\Microsoft\Active Setup\Installed Components\:::*:::\Default&&StubPath,
HKLM\Software\Microsoft\Code Store Database\Distribution Units\:::vk:::,Activex controls->CLSID will refer to a file stored in:%windir%\Downloaded Program Files
HKLM\Software\Microsoft\Command Processor\Autorun,
